label,All,"< $50,000","$50,000 - $99,999","$100,000 - $149,999","$150,000 - $199,999","$200,000 - $499,999","$500,000 - $999,999","$1,000,000 - $1,999,999","$2,000,000 - $4,999,999","$5,000,000 - $9,999,999","> $10,000,000",
"$0 - $999",97,2,1,2,1,13,19,25,25,9,0,
"$1,000 - $1,499",322,31,9,8,13,94,79,55,28,3,2,
"$1,500 - $1,999",540,59,20,25,33,152,106,79,60,5,1,
"$2,000 - $2,499",851,49,14,15,22,191,210,200,115,23,12,
"$2,500 - $2,999",93,4,0,2,4,21,21,14,22,5,0,
"$3,000 - $3,499",66,4,0,2,1,9,14,14,16,6,0,
"$3,500 - $3,999",53,0,1,0,0,4,14,11,15,5,3,
"$4,000 - $4,499",24,0,0,1,0,3,6,8,4,2,0,
"$4,500 - $4,999",25,0,0,0,0,2,7,11,3,2,0,
"> $5,000",248,2,4,1,5,32,41,52,61,32,18,
